active_count,belief_max,belief_mean,candidate_count,discovered_edges_before,method,node,positive_count,score_max,slot
,0.8267172574996948,0.1613064706325531,22,1,ours_marl,9,,1.0,31
,0.724729597568512,0.16455526649951935,26,1,ours_marl,0,,1.0,32
,0.9242849349975586,0.1684703826904297,23,1,ours_marl,1,,1.0,32
,0.8047609925270081,0.19394385814666748,44,1,ours_marl,2,,1.0,32
,0.8005091547966003,0.13417740166187286,20,1,ours_marl,3,,1.0,32
,0.8015372157096863,0.15646754205226898,31,1,ours_marl,4,,1.0,32
,0.8191745281219482,0.15668386220932007,29,1,ours_marl,5,,1.0,32
,0.9143947958946228,0.18161050975322723,40,1,ours_marl,6,,1.0,32
,0.9163936972618103,0.14476695656776428,28,1,ours_marl,7,,1.0,32
,0.6355292797088623,0.14009329676628113,22,1,ours_marl,8,,1.0,32
,0.9145823121070862,0.16274675726890564,22,1,ours_marl,9,,1.0,32
,0.7102349996566772,0.16126416623592377,25,1,ours_marl,0,,1.0,33
,0.9057992696762085,0.16510097682476044,23,1,ours_marl,1,,1.0,33
,0.788665771484375,0.18092142045497894,40,1,ours_marl,2,,1.0,33
,0.7844989895820618,0.13149385154247284,19,1,ours_marl,3,,1.0,33
,0.7855064868927002,0.15333819389343262,31,1,ours_marl,4,,1.0,33
,0.8027910590171814,0.1535501778125763,28,1,ours_marl,5,,1.0,33
,0.8961068987846375,0.17212910950183868,38,1,ours_marl,6,,1.0,33
,0.8980658054351807,0.14287212491035461,28,1,ours_marl,7,,1.0,33
,0.6228187084197998,0.1299598217010498,20,1,ours_marl,8,,1.0,33
,0.89629065990448,0.15949180722236633,22,1,ours_marl,9,,1.0,33
,0.69603031873703,0.1580388993024826,25,1,ours_marl,0,,1.0,34
,0.8876832723617554,0.15711767971515656,22,1,ours_marl,1,,1.0,34
,0.772892415523529,0.1773029863834381,39,1,ours_marl,2,,1.0,34
,0.7688090205192566,0.12240704149007797,16,1,ours_marl,3,,1.0,34
,0.7697963714599609,0.1502714306116104,31,1,ours_marl,4,,1.0,34
,0.7867352366447449,0.14781083166599274,24,1,ours_marl,5,,1.0,34
,0.8781847357749939,0.1629156917333603,37,1,ours_marl,6,,1.0,34
,0.8801044821739197,0.1345663219690323,27,1,ours_marl,7,,1.0,34
,0.6103623509407043,0.12736064195632935,19,1,ours_marl,8,,1.0,34
,0.8783648610115051,0.15184617042541504,22,1,ours_marl,9,,1.0,34
,0.8062763810157776,0.1500110924243927,24,1,ours_marl,0,,1.0,35
,0.8699296116828918,0.14970728754997253,20,1,ours_marl,1,,1.0,35
,0.8840560913085938,0.17206716537475586,37,1,ours_marl,2,,1.0,35
,0.7534328103065491,0.11995888501405716,15,1,ours_marl,3,,1.0,35
,0.7544004321098328,0.14754024147987366,27,1,ours_marl,4,,1.0,35
,0.7710005640983582,0.13955669105052948,21,1,ours_marl,5,,1.0,35
,0.8606210947036743,0.16125524044036865,36,1,ours_marl,6,,1.0,35
,0.86250239610672,0.12554720044136047,23,1,ours_marl,7,,1.0,35
,0.6609417796134949,0.13103599846363068,16,1,ours_marl,8,,1.0,35
,0.8607975244522095,0.1488092541694641,22,1,ours_marl,9,,1.0,35
,0.7901508212089539,0.14701086282730103,24,1,ours_marl,0,,1.0,36
,0.8525310158729553,0.14671315252780914,19,1,ours_marl,1,,1.0,36
,0.8663749694824219,0.16103246808052063,32,1,ours_marl,2,,1.0,36
,0.8822638988494873,0.11925839632749557,14,1,ours_marl,3,,1.0,36
,0.8414753079414368,0.13909442722797394,23,1,ours_marl,4,,1.0,36
,0.7555805444717407,0.13676555454730988,21,1,ours_marl,5,,1.0,36
,0.8434086441993713,0.15803013741970062,36,1,ours_marl,6,,1.0,36
