collision_count_control,collision_count_delta,collision_count_treatment,collision_penalized_discovery_rate_control,collision_penalized_discovery_rate_delta,collision_penalized_discovery_rate_treatment,control,discovery_rate_control,discovery_rate_delta,discovery_rate_treatment,episode,lambda2_control,lambda2_delta,lambda2_treatment,node_count,rf_chains,treatment
0,752.0,752,0.004597701149425287,0.2540375136778704,0.2586352148272957,uniform_random,0.004597701149425287,0.7011494252873564,0.7057471264367816,3,0.0,9.717087822824144,9.717087822824144,30,1,budgeted_collision_aware_isac
1494,-590.0,904,0.13841368584758942,0.08264680705756366,0.2210604929051531,wang2025_isac_no_collab,0.6137931034482759,0.06666666666666665,0.6804597701149425,4,11.338507736810714,2.543211976091202,13.881719712901916,30,1,budgeted_collision_aware_isac
2506,-1602.0,904,0.10404624277456648,0.11701425013058661,0.2210604929051531,wang2025_comm_tables,0.7034482758620689,-0.02298850574712641,0.6804597701149425,4,14.358285343805486,-0.4765656309035702,13.881719712901916,30,1,budgeted_collision_aware_isac
2678,-1774.0,904,0.09604882749759075,0.12501166540756234,0.2210604929051531,wang2025_isac_tables,0.6873563218390805,-0.006896551724137945,0.6804597701149425,4,13.38724933628544,0.4944703766164764,13.881719712901916,30,1,budgeted_collision_aware_isac
3208,-2304.0,904,0.07548723579467471,0.14557325711047836,0.2210604929051531,improved_rl_isac,0.632183908045977,0.0482758620689655,0.6804597701149425,4,12.1391132595989,1.742606453303015,13.881719712901916,30,1,budgeted_collision_aware_isac
0,904.0,904,0.009195402298850575,0.21186509060630251,0.2210604929051531,uniform_random,0.009195402298850575,0.6712643678160919,0.6804597701149425,4,0.0,13.881719712901916,13.881719712901916,30,1,budgeted_collision_aware_isac
2650,-1345.0,1305,0.12857142857142856,0.11603288797533404,0.2446043165467626,wang2025_isac_no_collab,0.5653846153846154,0.08846153846153848,0.6538461538461539,0,13.853498979844078,6.283578846841705,20.137077826685783,40,1,budgeted_collision_aware_isac
3845,-2540.0,1305,0.10443243243243243,0.14017188411433018,0.2446043165467626,wang2025_comm_tables,0.6192307692307693,0.0346153846153846,0.6538461538461539,0,16.79117425484215,3.345903571843632,20.137077826685783,40,1,budgeted_collision_aware_isac
3793,-2488.0,1305,0.09884102339820687,0.14576329314855574,0.2446043165467626,wang2025_isac_tables,0.5794871794871795,0.07435897435897432,0.6538461538461539,0,14.91618684208451,5.220890984601272,20.137077826685783,40,1,budgeted_collision_aware_isac
4926,-3621.0,1305,0.07658604977216965,0.16801826677459294,0.2446043165467626,improved_rl_isac,0.5602564102564103,0.09358974358974359,0.6538461538461539,0,13.91190465838064,6.225173168305142,20.137077826685783,40,1,budgeted_collision_aware_isac
0,1305.0,1305,0.007692307692307693,0.2369120088544549,0.2446043165467626,uniform_random,0.007692307692307693,0.6461538461538462,0.6538461538461539,0,0.0,20.137077826685783,20.137077826685783,40,1,budgeted_collision_aware_isac
2185,-831.0,1354,0.1467116357504216,0.07400064166288675,0.22071227741330834,wang2025_isac_no_collab,0.5576923076923077,0.0461538461538461,0.6038461538461538,1,9.702060056074217,5.399334522286091,15.101394578360308,40,1,budgeted_collision_aware_isac
3916,-2562.0,1354,0.10200170357751277,0.11871057383579557,0.22071227741330834,wang2025_comm_tables,0.6141025641025641,-0.010256410256410331,0.6038461538461538,1,16.63648574715858,-1.5350911687982727,15.101394578360308,40,1,budgeted_collision_aware_isac
3796,-2442.0,1354,0.10708041958041958,0.11363185783288876,0.22071227741330834,wang2025_isac_tables,0.6282051282051282,-0.024358974358974383,0.6038461538461538,1,16.38028798996573,-1.2788934116054218,15.101394578360308,40,1,budgeted_collision_aware_isac
4611,-3257.0,1354,0.07976256724169913,0.14094971017160923,0.22071227741330834,improved_rl_isac,0.5512820512820513,0.05256410256410249,0.6038461538461538,1,15.202795874870581,-0.1014012965102733,15.101394578360308,40,1,budgeted_collision_aware_isac
0,1354.0,1354,0.008974358974358974,0.21173791843894937,0.22071227741330834,uniform_random,0.008974358974358974,0.5948717948717949,0.6038461538461538,1,0.0,15.101394578360308,15.101394578360308,40,1,budgeted_collision_aware_isac
2735,-835.0,1900,0.12176386913229019,0.05920628012144115,0.18097014925373134,wang2025_isac_no_collab,0.5487179487179488,0.07307692307692304,0.6217948717948718,2,12.648870846719973,4.562182655054286,17.21105350177426,40,1,budgeted_collision_aware_isac
4849,-2949.0,1900,0.08349618049387103,0.09747396875986031,0.18097014925373134,wang2025_comm_tables,0.6025641025641025,0.019230769230769273,0.6217948717948718,2,16.207801173612918,1.0032523281613415,17.21105350177426,40,1,budgeted_collision_aware_isac
4843,-2943.0,1900,0.08571936688600391,0.09525078236772742,0.18097014925373134,wang2025_isac_tables,0.617948717948718,0.0038461538461538325,0.6217948717948718,2,15.271766477780908,1.9392870239933515,17.21105350177426,40,1,budgeted_collision_aware_isac
5842,-3942.0,1900,0.0626698882512836,0.11830026100244774,0.18097014925373134,improved_rl_isac,0.532051282051282,0.08974358974358976,0.6217948717948718,2,13.164026594067987,4.047026907706272,17.21105350177426,40,1,budgeted_collision_aware_isac
